sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
10.434;173;;180rounds;Yes;No;3;0.56500;0.70703;0.25496;0.34385;1.84562;ClockworkAgent@0;ClockworkAgent@1;ClockworkAgent@2;0.565;0.7070279681777115;0.5735908413772338;0.565;0.7070279681777115;0.5735908413772338;party1_utility.xml;party2_utility.xml;party3_utility.xml
12.521;173;;180rounds;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;Ngent@3;ClockworkAgent@4;ClockworkAgent@5;0.7725;0.9120887338395958;0.7292599480062285;0.7725;0.9120887338395958;0.7292599480062285;party1_utility.xml;party2_utility.xml;party3_utility.xml
9.673;173;;180rounds;Yes;No;3;0.54221;0.84500;0.05832;0.39225;2.07335;group30.Agent30@6;ClockworkAgent@7;ClockworkAgent@8;0.8450000000000001;0.5422127181329353;0.6861341548257136;0.8450000000000001;0.5422127181329353;0.6861341548257136;party1_utility.xml;party2_utility.xml;party3_utility.xml
9.071;174;;180rounds;Yes;No;3;0.64172;0.80250;0.07479;0.25500;2.12999;ClockworkAgent@9;Ngent@10;ClockworkAgent@11;0.8025;0.6857680632854671;0.641723073348701;0.8025;0.6857680632854671;0.641723073348701;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.214;173;;180rounds;Yes;No;3;0.64172;0.80250;0.07479;0.25500;2.12999;Ngent@12;Ngent@13;ClockworkAgent@14;0.8025;0.6857680632854671;0.641723073348701;0.8025;0.6857680632854671;0.641723073348701;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.646;174;;180rounds;Yes;No;3;0.70917;0.87605;0.00000;0.09652;2.33131;group30.Agent30@15;Ngent@16;ClockworkAgent@17;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.7091666666666666;0.8760514919327387;0.7460922880531652;party1_utility.xml;party2_utility.xml;party3_utility.xml
6.858;173;;180rounds;Yes;No;3;0.72167;0.89253;0.00000;0.07479;2.34868;ClockworkAgent@18;group30.Agent30@19;ClockworkAgent@20;0.7216666666666667;0.892528230487994;0.7344889447415774;0.7216666666666667;0.892528230487994;0.7344889447415774;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.774;174;;180rounds;Yes;No;3;0.70917;0.87605;0.00000;0.09652;2.33131;Ngent@21;group30.Agent30@22;ClockworkAgent@23;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.7091666666666666;0.8760514919327387;0.7460922880531652;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.404;174;;180rounds;Yes;No;3;0.70917;0.87605;0.00000;0.09652;2.33131;group30.Agent30@24;group30.Agent30@25;ClockworkAgent@26;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.7091666666666666;0.8760514919327387;0.7460922880531652;party1_utility.xml;party2_utility.xml;party3_utility.xml
7.132;173;;180rounds;Yes;No;3;0.74194;0.81833;0.00000;0.17645;2.31728;ClockworkAgent@27;ClockworkAgent@28;Ngent@29;0.8183333333333332;0.7570048124820374;0.7419388596398198;0.8183333333333332;0.7570048124820374;0.7419388596398198;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.559;181;;180rounds;No;No;1;0.00000;0.00000;1.16612;1.41191;0.00000;Ngent@30;ClockworkAgent@31;Ngent@32;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
